26870816_1	newly generated mir-23a destabilizes keap1 mrna by binding to its 3'utr.
18077375_2	our results suggest that mir-378 transfection enhanced cell survival, tumor growth, and angiogenesis through repression of the expression of two tumor suppressors, sufu and fus-1. in the presence of the 3'utr, the effect of sufu was repressed by mir-378 expression, resulting in high levels of cell survival, confirming that the sufu 3'utr is a target of mir-378.
18077375_3	nevertheless, without mir-378 expression , sufuutr expression exhibited higher rates of cell survival compared with sufu alone.
18077375_6	it acts on two tumor suppressors, sufu and fus-1.
18077375_7	other tumor suppressors may also be involved in mir-378 function, because mir-378 may targetmultiple mrnas.
19472311_1	finally, we tested fndc3b mrna and protein levels in hepg2 with and without mir-143 mimic transfection by way of reverse-transcription polymerase chain reaction and western blotting to determine how mir-143 acts through mrna degradation or translational repression.
19472311_2	as shown in fig.4b, fndc3b mrna levels were not significantly affected, whereas protein levels decreased substantially after treatment with mir-143.
19472311_3	these results strongly indicate that fndc3b gene expression is directly translationally suppressed by mir-143.
22891046_1	luciferase assays confirmed that mir-24 suppressed jp2 expression by binding to either of these sites.
22891046_2	in the present study, we report that mir-24, a microrna upregulated in heart failure, is an immediate upstream suppressor of jp2. in the present study, we demonstrated that mir-24 regulates jp2 expression by binding to at least 1 of the 2 sites within the 3'utr of jp2 mrna.
22891046_3	similar results were shared by the rat, mouse and human sequences, indicating that the mir-24 targeting of jp2 expression was doubly-secured through evolution.
21880462_1	our study demonstrated that mir-98 and mir-453 down-regulated tp53 expression by targeting the 3'utr of tp53, and that cisplatin might inhibit a549 cell growth by mir-98 regulating tp53 pathway.
21880462_2	3'utr of tp53 was regulated by mir-98 453.
21880462_4	the above results indicated that cisplatin might inhibit a549 cell growth by mir-98 regulating tp53 pathway, in which the expression of mir-34 was increased to further reduce bcl-2 expression.
21880462_5	different from precious studies, our results indicated that mir-34 and bcl-2 attend tp53 pathway in a549 cells, which was regulated by mir-98 mir-453.
21880462_6	overall, our results demonstrated that mir-98 and mir-453 down-regulate tp53 expression by targeting the 3'utr of tp53, and also indicate that the signal factors in tp53 pathway are affected in a549 cells after mir-98 and mir-453 treatment.
22664922_1	to test whether mir-29a b manifests its effect on bace1 due to a direct interaction, we used targetscan to predict its binding site in the mouse bace1 3'utr and create a 22 base pair mutation abolishing the mirna binding site.
22223106_4	these results demonstrate that the effect of suboptimal early nutrition and growth on both mir-483-3p and gdf3 protein is conserved between humans and rats.
22223106_5	transfection of mir-483-3p mimic significantly decreased the level of gdf3 endogenous protein , demonstrating that gdf3 expression is regulated by mir-483-3p.
22223106_6	these results demonstrate that both mir-483-3p and gdf3 mrna associate with the risc and that the binding of gdf3 mrna is dependent on mir-483-3p.
22223106_7	taken together, these data confirm the presence of a functional and direct mir-483-3p target site in the 3'-utrs of the mouse, rat and human gdf3 mrna.
23010597_3	these results indicated that mir-134 inhibits emt through regulating foxm1 expression in nsclc cells.
23010597_4	it is also shown that foxm1 is suppressed by mir-134 via direct binding to the foxm1 3'utr.
23010597_5	these results indicate that mir-134 downregulates foxm1 expression by directly targeting its 3'utr.
21956418_2	to validate this target we evaluated the expression of cdk6 protein levels in wro, wropcdh, and wromir-191 cell clones by western blot.
21956418_3	the introduction of mir-191 significantly decreased cdk6 protein level , but not mrna , consistently with a posttranscriptional regulation of the cdk6 protein by this mirna.
21956418_4	therefore, these data show that mir-191 interferes with cdk6 mrna translation by directly interacting with both targetsequences in its 3'utr.
21956418_5	these data suggest that the mir-191 effect is, at least in part, mediated by cdk6 targeting.
21956418_6	these results suggest that mir-191 down-regulation is correlated to cdk6 overexpression in most of the cases.
26618772_1	mir-143 directly targeted seed sequences in the 3 ' -untranslated regions of erk5. in our study, we confirmed that mir-143 expression was experimentally declined in breast cancer specimens, and erk5 was down-regulated directly by mir-143.
26618772_2	these results suggested a direct and specific interaction of mir-143 on erk5 3'utr in breast cancer cells.
26618772_3	taken together, our data suggested that erk5 was a target gene of mir-143.
24750349_1	in conclusion, mir-130a is important for maintaining normal autophagy levels and promoting the survival of epc via regulation of bcl-2 and beclin1 expression, via runx3.
26298724_1	to further explore the mechanism through which mir-148a plays its antitumor role, matrix metalloproteinase-13 was identified as a target of mir-148a by western blot and luciferase reporter assay.
26298724_2	our study demonstrates that mir-148a inhibits the migration of breast cancer cells by targeting mmp-13 and also lays theoretical foundation for further exploration for the function of mir-148a.
26298724_3	furthermore, we also demonstrated that mir-148a regulated the migration of breast cancer cells by targeting mmp-13.
26298724_4	taken together, these results demonstrated that mir-148a reduced the luciferase activity of wild-type 3'utr, but not the mutant type 3'utr of mmp-13, suggesting that mir-148a binds to the 3'utr of mmp-13.
26298724_5	it indicates that mmp-13 is a target of mir-148a.
23133646_1	this study reports for the first time the identification of microrna-574-5p and microrna-921 as two mirnas capable of interacting with the 39-untranslated region of the cbr1 gene and downregulating cbr1 expression.
23133646_2	hsa-mir-574-5p and hsa-mir-921 bind differentially to cbr1 3'utr constructs.
23133646_3	we demonstrated that mir-574-5p and hsa-mir-921 both influence cbr1 protein expression in human cell lines with homozygosis for the major cbr1 1096g.a
26273410_1	by cell transfection and luciferase reporter assay, dab2 was confirmed as a direct target of mir-93.
26273410_2	subsequent experiments in vitro showed that mir-93 could promote the proliferation and migration of escc cells by targeting dab2.
26273410_3	these findings demonstrated that mir-93 could regulate dab2 expression in escc cells. in sum, these results indicate that mir-93 can directly inhibit dab2 expression by targeting its 3'utr, and that there are more obvious changes to the dab2 protein than the mrna level when transfection with mir-93 is performed, suggesting that mir-93 regulates dab2 expression mainly by translational suppression.
21252116_1	interestingly, we also observed a concomitant decrease in expression of the let-7 mirna targetimp-1 by 73%, and cdc34 and total ras, by 30% and 16%, respectively, compared with control cells , suggesting let-7 regulation by c-myc.
21252116_2	however, qrt-pcr showed an increase in both mature let-7a and let-7b mirna expression , suggesting that c-myc modulates expression of known let-7 target, imp-1, cdc34, and ras, in part by negatively regulating endogenous mature let-7 mirna levels in human colon cancer cells.
18801740_1	here we provide evidence in ad brains of a specific up-regulation of an nf-kb-sensitive mirna-146a highly complementary to the 3' un-translated region of complement factor h , an important repressor of the brain's inflammatory response.
18801740_2	up-regulation of mirna-146a coupled to down-regulation of cfh was observed in ad brain and in il-1ss, ass42 and or oxidatively-stressed human neural cells in primary culture.
18801740_3	transfection of hn cells using an nf-kb-containing pre-mirna-146a promoter-luciferase reporter construct in stressed hn cells showed significant up-regulation of luciferase activity that paralleled decreases in cfh gene expression.
18801740_5	incubation of an antisense oligonucleotide to mirna-146a was found to restore cfh expression levels.
18801740_6	these data indicate that nf-kb-sensitive mirna-146a-mediated modulation of cfh gene expression may in part regulate an inflammatory response in ad brain and in stressed hn cell models of ad, and illustrates the potential for anti-mirnas as an effective therapeutic strategy against pathogenic inflammatory signaling.
22883469_1	mir-133b target egfr by binding to the egfr 3'utr.
22883469_2	bioinformatic analysis and luciferase reporter assay revealed that mir-133b can interact specifically with the 3'utr of egfr mrna.
22883469_4	these data suggest that mir-133b directly inhibits egfr expression via its 3'utr.
22883469_5	in pc-9 cells, which are egfr-addicted lung cancer cells, egfr mrna was significantly downregulated by transfection with mir-133b mimic.
22883469_6	additionally, the egfr level was measurably reduced by mir-133b mimic and increased by mir-133b inhibitor .
22883469_7	these data show that endogenous egfr expression was regulated by mir-133b.
25465153_1	therefore, these results suggest that mir-96 regulate the level of reck by combining with predicted site of the reck 3'utr sequence and reck is a direct target of mir-96.
25465153_2	these data suggested that overexpression of reck inhibited the effect of mir-96 on ec.
25209900_1	mir-451 is decreased in hypertrophic cardiomyopathy and regulates autophagy by targeting tsc1.
25849652_1	programmed cell death 4 is known to be up-regulated during apoptosis as a functionally important target of mir-21 . in pbmc after mir21-i injection, pdcd4 expression was increased in bd mice. in addition, the expression levels of rhob, pd-1, and il-12p35 were also increased in bd mice.
25849652_2	rhob is known as a target of mir-21 .
25849652_3	the mrna expression of rhob is consistently up-regulated after mir21 inhibition in bd mice.
19359473_1	we identify src homology-2 domain-containing inositol 5-phosphatase 1 as a direct target of mir-155.
19359473_2	among the target was ship1 , a gene that is repressed by mir-155 and which has a conserved 8-mer target "seed" in its 3'utr .
19359473_3	to directly test whether mir-155 can repress ship1 through direct 3'utr interactions, we cloned the 3'utr of ship1 into a reporter plasmid downstream from luciferase and performed reporter assays using 293 t cells.
19359473_4	these data reveal that mir-155 directly target the ship1 3'utr leading to repressed expression.
24314651_1	we investigated how expression of human papilloma virus type-16 onco-proteins e6 and e7 affected expression of mir-24 and mir-205 during proliferation and differentiation of hfks.
24314651_2	we show that the induction of both mir-24 and mir-205 observed during differentiation of hfks is lost in hfks expressing e6 and e7.
26170028_1	to validate that mir-148a and mir-30a induce their suppressive effects on tip47 by directly binding to its 3'utr, wild type or mutant binding regions of mir-148a or mir-30a were cloned downstream of luciferase reporter gene in pmirglo vector.
26170028_4	similarly, mir-30a mimics suppressed luciferase activity in cells harboring wild type mir-30a vector but not the mutant type.
26170028_5	mir-148a and mir-30a mimics suppressed tip47 mrna and protein expression compared to untransfected cells.
24577056_1	transfection of mir-214, mir-363*, mir-326, mir-940, mir-29c, mir-665, mir-34b*, mir-708, mir-601, mir-124a, mir-380-5p, mir-885-3p and mir-593 significantly inhibited the luciferase activity of the construct containing the b7-h3 3'utr compared with scrambled mirna-transfected controls , indicating that these mirnas directly bind to the b7-h3 3'utr.
17569667_2	fig. 3 shows that the presence of mir-221, mir-222, or mir-221 and mir-222 in tandem strongly affected luciferase expression , measured as relative luciferase activity.
17569667_4	these data strongly support the hypothesis that mir-221 and mir-222 post-transcriptionally regulate p27kip1 expression in lncap and 22rv1 cells.
17569667_5	the results that we collected by both the overexpression and the knock down of mir-221 and or mir-222 converge toward the identification of p27 as an actual target of mir-221 mir-222 in lncap, 22rv1, and pc3 pca cell lines.
17569667_6	these results support the bioinformatic prediction indicating the 3'utr of p27 mrna as a targetfor mir-221 and mir-222, and denote that the two matching sites thus identified strongly contribute to the mirna-mrna interaction mediating the post-transcriptional inhibition of the expression.
24938872_3	in accordance with bioinformatics and luciferase activity analyses, cul1 was found to be the direct target of mir-203.
24938872_4	furthermore, mir-203 inhibition and cul1 overexpression reversed the cytotoxicity of azd6244 on the mda-mb-231 and hcc1937 cells.
26845432_1	the overexpression of mitf could counteract the biological effect of mir-137 in multiple myeloma cells.
26845432_2	we conclude that mitf is a direct target of mir-137.
26845432_3	a dual luciferase reporter gene analysis revealed that mitf is a direct target of mir-137.
26845432_4	the mir-137 can improve the dexamethasone sensitivity in multiple myeloma cells by reducing the c-met expression and further decreasing the akt phosphorylation via targeting mitf.
26729468_1	we found that expression of mir-125b was significantly inhibited in uremic rats coupled with increased cyp24 at both protein and mrna levels compared with normal controls.
26729468_2	in nrk-52 kidney cells, we further found that mir-125b antagomirs increased cyp24 but mir-125b mimics decreased cyp24, and luciferase assay confirmed that cyp24 is a direct target of mir-125b.
26729468_3	these results further support that mir-125b directly regulates cyp24 in kidneys.
26729468_4	taken together, the data suggest that cyp24 is a direct target of mir-125b.
26859141_1	specifically, we showed that cxcl8 il8, uhrf1, mcm10, and cdkn3 were downregulated and targeted by mir-146a-5p.
26859141_2	the interaction between mir-146a-5p and their targets cxcl8 and uhrf1 was validated in cell culture experiments.
26859141_4	the transfection with mir-146a-5p significantly reduced the concentration of secreted cxcl8 il8 protein from both cell lines whereas the inhibition of mir-146a-5p increased the amount of secreted cxcl8 il8 measured by elisa .
26859141_6	transfection with mir-146a-5p significantly reduced the amount of uhrf1 in both cell lines, however, a treatment with mir-146a-5p inhibitor showed no effect on uhrf1 expression .
26513420_1	the overexpression of mir-135 suppressed hoxa2, whereas the knockdown of mir-135 promoted hoxa2 expression.taken
26513420_2	together, our data suggested that hoxa2 expression was negatively regulated by mir-135.
20837890_1	we further identified that 3 proapoptotic proteins and 2 antiapoptotic proteins were authentic targets for mir-494.
23770100_1	as shown by luciferase reporter assay, mir-142-5p bound directly to the 3 ' -untranslated region of btg3.
23770100_3	these results suggested that btg3 is a candidate target gene of mir-142-5p in vsmcs.
23770100_4	we obtained evidence in the present study that btg3 mrna and protein expression are down-regulated by mir-142-5p.
26269764_2	knockdown of hk2 recapitulated the effects of mir-143 and accompanied with decreased glucose metabolism.
26269764_3	taken together, above results indicate that hk2 is the downstream target of mir-143 in prostate cancer.
26269764_4	taken together, these results suggest that mir-143 down-regulates hk2 to suppress tumor growth in prostate cancer.
26622652_1	the results showed that mir- 182 specifically targets the gene encoding neuritin, nrn1, as demonstrated by a reduction in the protein and mrna levels of nrn1.
26622652_2	these data suggest that exogenous mir-182 downregulates nrn1 expression.
20673990_1	we further demonstrate that lincrna-p21 binds hnrnp-k.
20673990_2	consistent with a bona fide interaction, we observed a greater and very significant enrichment of lincrna-p21 in the hnrnp-k rip relative to the igg control rip with two hnrnp-k different antibodies .
20673990_3	together,the rna pull-down,native rip,cross-linked rip and deletion mapping results demonstrate a specific association between hnrnp-k and lincrna-p21.
26895471_1	additionally, we discovered that prkd1 expression was negatively regulated by mir-34a binding to the prkd1 3'utr.
19683563_2	a western blot performed on the same cells showed that bcl2 protein was clearly reduced in the stable transfection cell line of mir-34a, as compared to cells transfected with the control vector .
19683563_3	the luciferase reporter assays directly support the hypothesis that mir-34a regulates bcl2 through at least one mirna recognition element in the 3'utr of bcl2.
26476938_1	these data demonstrated that mir-24 interacts directly with the predicted binding site of the fasn mrna in gmec.
23418453_2	data suggests that, in addition to possible antitumor effects, treatment of hcv-infected huh7.5 cells with ifn-alpha upregulates mir-130a 301 thereby reducing c-met expression and hcv pathogenesis.
23100280_1	mir-34b expression decreased by 75% compared to the negative control , whereas creb levels were increased in addition to creb target genes known to influence myeloid leukemia .
23100280_2	since decreased mir-34b expression can affect creb expression, we examined the clonogenic properties in methylcellulose colony assays.
23100280_3	enhanced colony formation was observed in the mir-34b knockdown human fetal liver cells compared to the scrambled mir-target .
23100280_5	these experiments suggest that mir-34b is a tumor suppressor in aml principally by inhibiting creb expression.
17363372_1	we cloned the 3'utr of tpm1 into a luciferase reporter and found that although mir-21 down-regulated the luciferase activity, anti-mir-21 up-regulated it.
17363372_2	to determine the role of the mir-21 binding site in regulating its expression, we deleted the mir-21 binding site in variant 1 .
17363372_4	3f, neither mir-21 nor anti-mir-21 had any effect on the luciferase activity, highlighting the importance of this mir-21 binding site.
17363372_5	therefore, these results suggest that the mir-21 binding site present in the tpm1-utr region is critical for mir-21-mediated regulation at the translational level.
17363372_6	thus, even though the mir-21 binding site is away from the gfp , it is still functional.
17363372_7	this result further indicates that tpm1 is a mir-21 target
21233447_1	the no-dependent regulation of mir-200 family suggested a role for these mirs during mes commitment to mesendoderm.
21233447_2	to verify this hypothesis, 2 representative mir-200 family members with different seed sequences, mir-200a and mir-429, both of which are able to target sip1 zeb2 mrna, were overexpressed, at high and low copy numbers, as pre-mirs in undifferentiated mes.
26899994_1	we also reported for the first time that mir-155 targets calcium-regulated heat stable protein 1 , which regulates the stability of tumor necrosis factor alpha mrna.
26899994_2	western blot results revealed that overexpressed mir-155 also inhibits carhsp1 protein expression .
26899994_3	furthermore, the qrt-pcr results indicate that the mrna levels of carhsp1 are downregulated by overexpressed mir-155 .
26899994_4	all these results indicate that carhsp1 is a functional target of mir-155, which directly targets its 3'utr, and that carhsp1 serves as a mediator of mir-155 by regulating the production of tnf-alpha and thereby affecting foam cell formation.
24931256_4	the luciferase activity of reporters driven by igf1r and bcl2 3'-untranslated regions in sgc7901 ddp cells suggested that igf1r and bcl2 were both direct target genes of mir-503.
19408243_1	we identified a functional targetsequence for mir-31 in the 3' untranslated region of foxp3 mrna.
19408243_2	these results demonstrate that foxp3 expression is inversely proportional to mir-31 expression level.
17600087_1	let-7 regulates hmga2 expression in ovarian cancer and predicts disease progression.
26081366_1	after transfection by mir-129 mimics or inhibitor, both of a549 and spca-1 cells showed weaker band or stronger band of vcp protein, respectively, by western blotting.
26081366_3	after deletion of one or both of the two putative mir-129-binding sites, the luciferase activities rose remarkably , suggesting that mir-129 directly regulates vcp gene through these two binding sites.
18379589_1	immunoblot and immunofluorescence analyses showed that overexpression of let-7b in melanoma cells resulted in significant downregulation of cyclins d1, d3, and cdk4 protein expression.
18379589_3	moreover, the negative regulatory effect of let-7b on cyclin d1 expression was indeed mediated through binding to 3'utr of thetarget, as shown by in vitro luciferase assays.let-7b
24249224_1	apoptosis during tgf--beta signaling, where sirt1 and sp4 are suppressed by mir-34a-5p and mir-34a-3p, respectively
23145124_1	these results indicate that mir-124a, mir-1669, mir-1710 and mir-1782, influence ahcyl1 expression in vitro via its 3'utr which suggests that post-transcriptional events regulate or influence ahcyl1 expression in the chick oviduct.
26045772_1	these results strongly suggest downregulation of mir-98 led to il-6 overexpression via direct binding to putative binding site in the il-6 3'utr region during cm or mcp-1 induction in thp-1 cells.
21670079_1	the inverse expression of mir-193a with both plau and k-ras is consistent with these genes being relevant targets during transformation.
21670079_2	sequence complementarity between mir-193a and the 3- utrs of plau and k-ras, with the 8 nt seed sequence shown as a gray box.
21670079_3	luciferase activity of reporters containing the 3'utr of plau or k-ras 24h after transfection with mir-193a or mir negative control.
21670079_4	d, plau or k-ras mrna levels in the indicated breast cancer cell lines transfected with mir-193a or control mirna.
19924305_1	by this method we identified antisense to marcks related protein , whose family member marcks is a target of mir-21, a microrna involved in tumor growth, invasion and metastasis in multiple human cancers.
17322030_2	translocations generate a truncated hmga2 mrna lacking the let-7 complementary sites of the wild-type mrna and are associated with the indicated tumors. in its 3'utr, human hmga2 has seven let-7 complementary sites, all of which are conserved in the mouse, rat, dog, and chicken.
22179046_1	employing an experimental strategy similar to that described above, we could show that mmp9 and emilin2 are directly regulated by mir-320 through their 3'utr target sequences .
22179046_2	these results are consistent with a dual mechanism for the regulation of mmp9 expression that involves transcriptional control by ets2 and posttranscriptional control by mir-320.
26450567_1	on the one hand, 3- -untranslated region reporter analysis revealed a mir-136 binding site in the 3'utr of il-6.
26450567_2	together these results indicated that cellular il-6 expression was greatly enhanced following transfection with either plasmid-expressed mir-136 or mir-136 mimics.
26117336_1	these data suggest specific binding of mir-17 20a with the dapk3 mrna.
26117336_2	these data suggest that mir-17 20a targets dapk3 in the cds region to suppress its translation.
26754824_1	mir-133 was identified to directly bind to evi1 to regulate it.
26754824_2	this indicates that mir-133 promoted apoptosis in the presence of adr in evi1-high-expressing hel leukemic cells. . in summary, we identified mir-133 as a mirna that regulates evi1, whose overexpression is associated with a poor prognosis in aml.
23200854_1	mir-155 promotes ifngamma expression by cd4+ t cells through a mechanism involving repression of ship1.
23200854_2	however, the partial recovery of the ifngamma phenotype following ship1 knockdown indicates that addition targets of mir-155 are also involved in this phenotype.
20622002_1	luciferase assays using constructs containing junb 3'-untranslated region with wild type or mutated mir-663 targetsites provided strong evidence that mir-663 target junb 3'utr directly .
20622002_2	together, these results establish mir-663 as a new regulator of junb and jund levels and more generally of ap-1 activity.
20622002_3	it might be that 663-i could also impair the targeting of transcripts encoding some unidentified repressor of junb by mir-663.
23755189_2	consistent with a role for the mir-30 family in smoothened modulation a 54% reduction was seen in the gfp-smo+mir-30 embryos when compared to embryos injected with the gfp mrnas alone, indicating an interaction between smoothened 3'utr and mir-30.
23755189_3	these features are a result of direct targeting of the hh transmembrane receptor smoothened by the microrna family, representing a novel role for mir-30 in muscle fibre specification and distribution.
19286996_1	mir-184 negatively effects nfat1 protein synthesis.
19286996_2	here we provide evidence that a specific microrna, mir-184, inhibits nfat1 protein expression elicited by ucb cd4+ t cells.
19286996_3	to determine whether manipulation of nfat1 protein levels through interference with the activity of mir-184 is sufficient to result in an increase in transcription of nfat1-targetgenes, the transcription of il-2, a gene strongly activated by nfat1 binding to its promoter after stimulation,14 was assayed by qrt-pcr.
19286996_4	these findings indicate that mir-184 interference with nfat1 in ucb cd4+ t cells is indeed sufficient to influence both nfat1 protein levels and transcription of the known nfat1 target gene, il2.
23155233_2	high mir-34a expression level in the cells after irradiation at 60 gy reduced the p53 expression level.
22447776_2	furthermore, the arpc5 3'utr is predicted to contain binding sites for mir-22 883a-5p.
22447776_3	consistent with this, we show that mir-22 883a-5p-搈ediated regulation of arpc5 is critical for controlling the expression of genes known to be involved in chromatin remodeling during haploid germ cell differentiation.
22447776_5	4, mir-22 883a-5p-搕argeted arpc5 interacts with mrna and mediates translational suppression.
26170936_1	in addition, the results of the western blot analysis demonstrated that inhibition of mir-375 expression in c2c12 cells significantly enhanced the protein expression levels of runx2 .
26170936_2	these results demonstrated that mir-375 downregulated the expression of runx2.
26170936_3	these results indicated that mir-375 inhibited osteogenic differentiation, in part via the downregulation of runx2 expression.
22197821_1	the expression levels of these target in the assay were 61% for fgfr2 of that of un- treated huvecs , which confirmed that mir-19b-1 actually down-regulated important factors in the growth signaling pathway.
22197821_4	figure s3 mir-19b-1 target cyclin d1 protein translation.
26902416_1	together, these results indicated that ldha was a direct downstream target of mir-34a in breast cancer cells.
26584294_1	tbk1 was identified as a potential target gene of mir-203, with the predicted binding site at the base from positions 526 to 531.
26584294_2	tbk1 is a noncanonical ikappab kinase family member and plays a vital role in cell survival and tumor growth.
26584294_3	to validate whether the 3'utr of tbk1 is a functional target of mir-203, a dual-luciferase reporter system was employed.data
26584294_4	from the luciferase assay showed that overexpression of mir-203 remarkably suppressed the luciferase activity of the reporter gene with the wild-type construct but not with the mutant tbk1 3'utr construct in os cells.
26584294_5	our results suggest that tbk1 is a direct target of mir-203 in os cells.
21454583_1	mir-205 significantly suppressed the luciferase activity of reporter plasmids containing the 3'utr sequences complementary to either e2f1 or e2f5.
21454583_2	overexpression of mir-205 in melanoma cells reduced e2f1 and e2f5 protein levels.
23285103_1	the specificity of the binding of the 3'utr of cdh5 gene with mir-142a-3p duplex was investigated by microinjecting gfp- cdh53'-utr mrna, in the presence and absence of mir-142a-3p duplex and a sequence unrelated mir-144 duplex.
23285103_2	zebrafish embryos sequentially injected with gfp- cdh53'-utr mrna and mir-142a-3p duplex showed suppression of gfp expression, while mir-144 duplex had no effect on the gfp expression .
23285103_3	this suggests that the 3'utr of cdh5 specifically interact with mir-142a-3p.
22989374_1	the high-ranking genes cdc42, cdh1, pak2, bcl-2, and mapk1 were confirmed as important targets of mir-224 and involvement in hepatocarcinogenesis. overexpression of mir-224 significantly in hek293 and huh7 cells altered the expression levels of cdc42, cdh1, pak2, and bcl-2 at both mrna and protein levels.
19841744_2	our results showed a negative correlation between the expression of let-7c and tgfbr1 during liver development, when the first was expressed higher in the adult liver compared to embryonic liver , and the second was expressed vice versa .
19841744_3	taken together, these results show that tgfbr1 is a plausible direct target of let-7c.
25705792_2	as observed for cxcr4, traf6 mrna level decreases during the first hours of activation of cd4镁 t cells, then remains at a lower level later in culture , decreasing slightly at 48 hours , whereas the decrease of mir-146a may unblock traf6 mrna translation and then increase traf6 protein expression level in these cells .
23752207_1	luciferase reporter assays revealed a 2.3-fold inhibition of expression due to interaction of mir-142 with the sirt1 3'utr, mutation analysis revealed that only the mir-142-5p target site was active.
23752207_3	this finding conclusively proved that sirt1 is a bona fide mir-142-5p target, corroborating our mir-142-5p overexpression and inhibition studies described previously.
23752207_4	in addition, we provide conclusive evidence that sirt1 is a direct mir-142-5p target.
26596830_2	taken together, our results demonstrate that runx2 was a direct target of mir-30a.
17462020_1	symr is encoded in cis to an sosinduced gene whose product shows homology to the antitoxin maze .
17462020_2	synthesis of the syme protein is tightly repressed at multiple levels by the lexa repressor, the symr rna and the lon protease.syme
23082062_2	mir-519a and ribosomal protein s6 kinase polypeptide 3 were predicted as the most significant candidates by mirna-mrna network. in addition, cyclin d3 and clathrin heavy chain , usually up-regulated in hcc tissues, were validated as the direct target of mir-138 and mir-199a-5p, respectively.
25040912_2	the mir-302b-reduced e2f3 levels were also identified to be associated with atra-mediated glioma cell death.
20186779_1	in one iranian family segregating autosomal recessive non-syndromic hearing loss , we identified a homozygous variant in a predicted mir-96 182 binding site in the 3'utr of the rdx gene.
20186779_3	to determine whether the predicted mir-86 182 binding site in the rdx 3'utr is a biologically relevant target of regulation we performed luciferase assays .
26314506_1	additionally, we confirmed that mir-335 can directly target grm4, which can further regulated the expression of mir-335.
26314506_2	antidepressant drug treatment with citalopram can upregulate mir-335 expression and downregulate grm4 expression.
26314506_3	these lines of evidence collectively demonstrated that mir-335 recognizes and regulates grm4 mrna through specific binding to its 3'utr.
25481483_1	mir-210 up-regulation inhibits proliferation and induces apoptosis in glioma cells by targeting sin3a.
25481483_2	aberrantly expressed mir-210 regulates human u251 glioma cells apoptosis and proliferation partly through directly down-regulating sin3a protein expression.
24356567_1	our results demonstrate that overexpression of mir-145 inhibits tumor growth in part by targeting c-myc.
24356567_2	all of these results document that mir-145 represses c-myc expression, which in turn inhibits the growth and tumorigenicity of escc cells.
24356567_3	therefore, these results highlight the significance of mir-145 as a tumor suppressor in escc growth in part by targeting c-myc.
20966935_1	we further demonstrate that the mir-30 family directly controls bcl-6 expression and mir-9-1 and let-7a directly control prdm-1 expression through targeting their 3'utr, mediating the fdc effect.
20966935_2	to examine whether bcl6 was regulated by mir-30, we ectopically expressed each of the mir-30 family members in su-4 and ramos cells by lentiviral transduction.
20966935_3	overexpression of mir-30 family members resulted in a dramatic decrease in expression of bcl6 protein compared with a scrambled control .
20966935_4	as shown in figures 3c-e, depletion of mir-30 expression by anti-mir-30s abolished fdc-induced bcl6 downregulation, indicating that the mir-30 family was required for regulation of bcl6 expression by fdcs.
21878650_1	cotransfection studies with 3'utr of these genes and mirna mimics have demonstrated that bcl2 is a direct target of mir-497 and that ccnd2 is regulated negatively by either mir-302b or mir-497.
21878650_2	overexpression of either mir-497 or mir-302b reduced expression of their identified target genes and increased caspase 3-mediated apoptosis of sh-sy5y cells.
26179263_1	expression of adam9 mrna and mir-203 were reversely correlated in hcc samples as calculated by pearson correlation.hulc
26179263_3	mir-203 expression levels were reduced in hcc cell lines than in lo2, especially in huh7 cells .
26179263_4	adam9 and hulc were more abundant in huh7 than in other cell lines.
26179263_5	we found that mir-203 inhibitor enhanced adam9 at mrna and protein levels in plc cells. in contrast, mir-203 mimic inhibited the expression of adam9 at mrna and protein levels in huh7 cells. in addition, we found that the expression of hulc in hcc cells transfected with mir-203 mimic was significantly downregulated, whereas mir-203 inhibitor markedly increased hulc level in hcc cells comparing with nc cells .
26179263_6	these results demonstrated that mir-203 had a negative regulatory effect on adam9 or hulc.
26867589_1	the 3'utr of pdcd4 contains three binding sites for mir-499 and one for mir-21.
26867589_2	in tonsillar sccs samples, both mir-21 and mir-499 were elevated but the rna levels for pdcd4 was markedly lower.
26867589_3	we also transiently transfected scc003 cells with pdcd4 with and without the 3'utr, and as expected, pdcd4 mrna expression was downregulated by both mir-21 and mir-499 only when the 3'utr was present .
26867589_4	taken together these observations suggest that mir-21 and mir-499 can both regulate the expression of pdcd4.
25939439_1	identification of mir-137 as a regulator of ezh2 via binding to ezh2 3'utr.
25939439_2	these findings indicate that ezh2 is a direct downstream target for mir-137 in gbm cells.
21383689_1	we further identified the embryonal carcinoma antigen podocalyxin-like protein 1 , an anti-adhesive protein expressed in aggressive tumors, as a target of mir-199a-5p.
21383689_2	we identified podocalyxin-like protein 1 as a target of mir-199a-5p.
21383689_3	these data show that mir-199a-5p regulates podxl through a conserved binding site in its 3'utr.
21844895_1	to confirm whether ppar-gamma is a direct target of mir-27b, we performed luciferase reporter assays in hek293 cells.
21844895_2	cotransfection of mir-27b with the luciferase reporter gene linked to the wild-type 3'utr of ppar-gamma strongly inhibited the luciferase activity, while cotransfection with anti-mir-27b rescued this effect .
21844895_3	we further measured the ppar-gamma expression level in smad4 mutant heart tissues, which showed increased mir-27b levels, and observed that ppar-gamma was significantly decreased in smad4 mutants .
21844895_4	consistently, ppar-gamma levels were significantly reduced in mir-27b transgenic hearts .
21844895_5	figure 6 ppar-gamma is a target of mir-27b in cardiomyocytes.
